CWE-ID,Name,CodeQL,CWE List,Sonar Rules,Pearce \etal,Authors,Total,Top-25 Rank
CWE-020,Improper Input Validation,4,0,0,0,2,6,4
CWE-022,Path Traversal,2,0,0,0,2,4,8
CWE-078,OS Injection,1,0,0,0,1,2,6
CWE-079,Cross-site Scripting,2,0,1,0,0,3,2
CWE-080,Basic XSS,0,0,0,0,1,1,N/A
CWE-089,SQL Injection,1,0,0,0,1,2,3
CWE-090,LDAP Injection,2,0,0,0,0,2,N/A
CWE-094,Code Injection,1,0,1,0,1,3,25
CWE-095,Eval Injection,0,0,0,0,1,1,N/A
CWE-099,Resource Injection,0,0,1,0,0,1,N/A
CWE-113,HTTP Response Splitting,0,0,2,0,0,2,N/A
CWE-116,Improper Encoding or Escaping of Output,1,0,0,0,1,2,N/A
CWE-117,Improper Output Neutralization for Logs,1,0,1,0,1,3,N/A
CWE-193,Off-by-one Error,0,0,0,0,1,1,N/A
CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,0,0,0,0,1,1,N/A
CWE-209,Generation of Error Message Containing Sensitive Information,1,0,0,0,0,1,N/A
CWE-215,Insertion of Sensitive Information Into Debugging Code,1,0,0,0,1,2,N/A
CWE-250,Execution with Unnecessary Privileges,0,1,0,0,0,1,N/A
CWE-252,Unchecked Return Value,0,0,0,0,1,1,N/A
CWE-259,Use of Hard-coded Password,0,0,0,0,2,2,N/A
CWE-269,Improper Privilege Management,0,1,0,0,0,1,N/A
CWE-283,Unverified Ownership,0,1,0,0,0,1,N/A
CWE-284,Improper Access Control,0,0,0,0,1,1,N/A
CWE-285,Improper Authorization,1,0,0,0,0,1,N/A
CWE-295,Improper Certificate Validation,1,0,0,0,2,3,N/A
CWE-297,Improper Validation of Certificate with Host Mismatch,0,0,4,0,0,4,N/A
CWE-306,Missing Authentication for Critical Function,0,0,0,1,0,1,18
CWE-312,Cleartext Storage of Sensitive Information,1,0,0,0,0,1,N/A
CWE-319,Cleartext Transmission of Sensitive Information,0,0,0,0,2,2,N/A
CWE-321,Use of Hard-coded Cryptographic Key,0,0,0,0,1,1,N/A
CWE-326,Inadequate Encryption Strength,0,0,0,0,2,2,N/A
CWE-327,Use of a Broken or Risky Cryptographic Algorithm,4,0,0,0,0,4,N/A
CWE-329,Generation of Predictable IV with CBC Mode,0,0,1,0,0,1,N/A
CWE-330,Use of Insufficiently Random Values,0,0,0,0,1,1,N/A
CWE-331,Insufficient Entropy,0,0,0,0,1,1,N/A
CWE-339,Small Seed Space in PRNG,0,1,0,0,0,1,N/A
CWE-347,Improper Verification of Cryptographic Signature,0,0,3,0,0,3,N/A
CWE-352,Cross-Site Request Forgery (CSRF),1,0,0,0,0,1,9
CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition,0,0,0,0,1,1,N/A
CWE-377,Insecure Temporary File,1,0,0,0,0,1,N/A
CWE-379,Creation of Temporary File in Directory with Incorrect Permissions,0,0,1,0,0,1,N/A
CWE-384,Session Fixation,0,0,1,0,0,1,N/A
CWE-385,Covert Timing Channel,0,1,0,0,0,1,N/A
CWE-400,Uncontrolled Resource Consumption,0,0,1,0,0,1,23
CWE-406,Insufficient Control of Network Message Volume,0,1,0,0,0,1,N/A
CWE-414,Missing Lock Check,0,0,0,0,1,1,N/A
CWE-425,Direct Request ('Forced Browsing'),0,0,0,0,1,1,N/A
CWE-434,Unrestricted Upload of File with Dangerous Type,0,0,0,2,0,2,10
CWE-454,External Initialization of Trusted Variables or Data Stores,0,0,0,0,1,1,N/A
CWE-462,Duplicate Key in Associative List,0,1,0,0,0,1,N/A
CWE-477,Use of Obsolete Function,0,0,0,0,1,1,N/A
CWE-488,Exposure of Data Element to Wrong Session,0,0,0,0,1,1,N/A
CWE-502,Deserialization of Untrusted Data,1,1,1,0,1,4,12
CWE-521,Weak Password Requirements,0,0,2,0,0,2,N/A
CWE-522,Insufficiently Protected Credentials,0,0,0,1,1,2,N/A
CWE-595,Comparison of Object References Instead of Object Contents,0,0,0,0,1,1,N/A
CWE-601,Open Redirect,1,0,4,0,0,5,N/A
CWE-605,Multiple Binds to the Same Port,0,0,0,0,1,1,N/A
CWE-611,Improper Restriction of XML External Entity Reference,1,0,4,0,1,6,24
CWE-641, Improper Restriction of Names for Files and Other Resources,0,0,1,0,0,1,N/A
CWE-643,XPath Injection,1,0,1,0,0,2,N/A
CWE-703,Improper Check or Handling of Exceptional Conditions,0,0,0,0,3,3,N/A
CWE-730,Regex Injection,2,0,0,0,1,3,N/A
CWE-732,Incorrect Permission Assignment for Critical Resource,0,0,0,0,1,1,N/A
CWE-759,Use of a One-Way Hash without a Salt,0,1,0,0,0,1,N/A
CWE-760,Use of a One-Way Hash with a Predictable Salt,0,0,1,0,0,1,N/A
CWE-776,XML Entity Expansion,1,0,0,0,0,1,N/A
CWE-798,Use of Hard-coded Credentials,1,0,0,0,1,2,15
CWE-827,Improper Control of Document Type Definiti,0,0,1,0,0,1,N/A
CWE-835,Infinite Loop,0,0,0,0,1,1,N/A
CWE-841,Improper Enforcement of Behavioral Workflow,0,1,0,0,0,1,N/A
CWE-918,Server-Side Request Forgery (SSRF),2,0,0,0,0,2,21
CWE-941,Incorrectly Specified Destination in a Communication Channel,0,1,0,0,0,1,N/A
CWE-943,Improper Neutralization of Special Elements in Data Query Logic,0,0,1,0,0,1,N/A
CWE-1204,Generation of Weak Initialization Vector (IV),0,0,1,0,0,1,N/A